year,team.id,country
2018,1,Spain
2018,2,Italy
2018,3,France
2018,4,United Kingdom
2018,5,Germany
2018,6,Croatia
2018,7,Russia
2018,8,Brazil
2018,9,Portugal
2018,10,Australia
2018,11,Iceland
2014,1,Spain
2014,2,Italy
2014,3,France
2014,4,United Kingdom
2014,5,Germany
2014,6,Croatia
2014,7,Russia
2014,8,Brazil
2014,9,Portugal
2014,10,Australia
2010,1,Spain
2010,2,Italy
2010,3,France
2010,4,United Kingdom
2010,5,Germany
2010,6,Croatia
2010,7,Russia
2010,8,Brazil
2010,9,Portugal
2006,1,Spain
2006,2,Italy
2006,3,France
2006,4,United Kingdom
2006,5,Germany
2002,1,Spain
2002,2,Italy
2002,3,France
2002,4,United Kingdom
2002,5,Germany
